x1,x2,Seq,y1,ST,Names,Dataset,dNames,size
1974721,2044628,GCA_001450525.1_WH-SGI-V-07173_genomic.fna.txt,6,111,GCA_001450525.1_WH-SGI-V-07173_genomic.fna.txt,2,WH-SGI-V-07173,69907
1974772,2044628,GCA_001451075.1_WH-SGI-V-07391_genomic.fna.txt,5.9,111,GCA_001451075.1_WH-SGI-V-07391_genomic.fna.txt,2,WH-SGI-V-07391,69856
1974721,2044628,GCA_001452365.1_WH-SGI-V-07651_genomic.fna.txt,5.8,111,GCA_001452365.1_WH-SGI-V-07651_genomic.fna.txt,2,WH-SGI-V-07651,69907
1973857,2044628,GCA_001452485.1_WH-SGI-V-07688_genomic.fna.txt,5.7,111,GCA_001452485.1_WH-SGI-V-07688_genomic.fna.txt,2,WH-SGI-V-07688,70771
1974721,2044628,GCA_001452645.1_WH-SGI-V-07700_genomic.fna.txt,5.6,111,GCA_001452645.1_WH-SGI-V-07700_genomic.fna.txt,2,WH-SGI-V-07700,69907
1974721,2044628,GCA_001452665.1_WH-SGI-V-07702_genomic.fna.txt,5.5,111,GCA_001452665.1_WH-SGI-V-07702_genomic.fna.txt,2,WH-SGI-V-07702,69907
1974721,2044628,GCA_001453855.1_WH-SGI-V-07256_genomic.fna.txt,5.4,111,GCA_001453855.1_WH-SGI-V-07256_genomic.fna.txt,2,WH-SGI-V-07256,69907
1974721,2044628,GCA_001453885.1_WH-SGI-V-07259_genomic.fna.txt,5.3,111,GCA_001453885.1_WH-SGI-V-07259_genomic.fna.txt,2,WH-SGI-V-07259,69907
1974022,2044628,GCA_001454225.1_WH-SGI-V-07296_genomic.fna.txt,5.2,111,GCA_001454225.1_WH-SGI-V-07296_genomic.fna.txt,2,WH-SGI-V-07296,70606
1973998,2044628,GCA_001454445.1_WH-SGI-V-07322_genomic.fna.txt,5.1,111,GCA_001454445.1_WH-SGI-V-07322_genomic.fna.txt,2,WH-SGI-V-07322,70630
1974852,2044628,GCA_001454465.1_WH-SGI-V-07323_genomic.fna.txt,5,111,GCA_001454465.1_WH-SGI-V-07323_genomic.fna.txt,2,WH-SGI-V-07323,69776
1969215,2044628,GCA_001454485.1_WH-SGI-V-07324_genomic.fna.txt,4.9,111,GCA_001454485.1_WH-SGI-V-07324_genomic.fna.txt,2,WH-SGI-V-07324,75413
1974734,2044628,GCA_001454495.1_WH-SGI-V-07325_genomic.fna.txt,4.8,111,GCA_001454495.1_WH-SGI-V-07325_genomic.fna.txt,2,WH-SGI-V-07325,69894
1974022,2044628,GCA_001454515.1_WH-SGI-V-07364_genomic.fna.txt,4.7,111,GCA_001454515.1_WH-SGI-V-07364_genomic.fna.txt,2,WH-SGI-V-07364,70606
1969215,2044628,GCA_001454545.1_WH-SGI-V-07329_genomic.fna.txt,4.6,111,GCA_001454545.1_WH-SGI-V-07329_genomic.fna.txt,2,WH-SGI-V-07329,75413
1974961,2044628,GCA_001454565.1_WH-SGI-V-07330_genomic.fna.txt,4.5,111,GCA_001454565.1_WH-SGI-V-07330_genomic.fna.txt,2,WH-SGI-V-07330,69667
1974852,2044628,GCA_001454785.1_WH-SGI-V-07320_genomic.fna.txt,4.4,111,GCA_001454785.1_WH-SGI-V-07320_genomic.fna.txt,2,WH-SGI-V-07320,69776
1974721,2044628,GCA_001454805.1_WH-SGI-V-07326_genomic.fna.txt,4.3,111,GCA_001454805.1_WH-SGI-V-07326_genomic.fna.txt,2,WH-SGI-V-07326,69907
1974727,2044628,GCA_001454825.1_WH-SGI-V-07327_genomic.fna.txt,4.2,111,GCA_001454825.1_WH-SGI-V-07327_genomic.fna.txt,2,WH-SGI-V-07327,69901
1981831,2029243,GCF_900707275.1_ARA02-029_genomic.fna.txt,4.1,111,GCF_900707275.1_ARA02-029_genomic.fna.txt,1,ARA02-029,47412
1981772,2029243,GCF_900707575.1_CAN01-003_genomic.fna.txt,4,111,GCF_900707575.1_CAN01-003_genomic.fna.txt,1,CAN01-003,47471
1981755,2029243,GCF_900707695.1_CAT05-008_genomic.fna.txt,3.9,111,GCF_900707695.1_CAT05-008_genomic.fna.txt,1,CAT05-008,47488
1982172,2029243,GCF_900707875.1_CAT09-026_genomic.fna.txt,3.8,111,GCF_900707875.1_CAT09-026_genomic.fna.txt,1,CAT09-026,47071
1982188,2032432,GCF_900708715.1_MAD05-041_genomic.fna.txt,3.7,111,GCF_900708715.1_MAD05-041_genomic.fna.txt,1,MAD05-041,50244
1982188,2029243,GCF_900708835.1_NAV01-012_genomic.fna.txt,3.6,111,GCF_900708835.1_NAV01-012_genomic.fna.txt,1,NAV01-012,47055
1981338,2029239,GCF_900708875.1_PVA01-021_genomic.fna.txt,3.5,111,GCF_900708875.1_PVA01-021_genomic.fna.txt,1,PVA01-021,47901
1449433,2411822,GCA_001449385.1_WH-SGI-V-07072_genomic.fna.txt,3.4,1195,GCA_001449385.1_WH-SGI-V-07072_genomic.fna.txt,2,WH-SGI-V-07072,962389
689324,2411822,GCA_001450465.1_WH-SGI-V-07064_genomic.fna.txt,3.3,1195,GCA_001450465.1_WH-SGI-V-07064_genomic.fna.txt,2,WH-SGI-V-07064,1722498
1801107,2390828,GCA_001450355.1_WH-SGI-V-07055_genomic.fna.txt,3.2,2023,GCA_001450355.1_WH-SGI-V-07055_genomic.fna.txt,2,WH-SGI-V-07055,589721
1801107,2376644,GCA_001451945.1_WH-SGI-V-07618_genomic.fna.txt,3.1,2023,GCA_001451945.1_WH-SGI-V-07618_genomic.fna.txt,2,WH-SGI-V-07618,575537
1754884,2160716,GCA_001449965.1_WH-SGI-V-07234_genomic.fna.txt,3,2028,GCA_001449965.1_WH-SGI-V-07234_genomic.fna.txt,2,WH-SGI-V-07234,405832
1982111,2413969,GCA_001452985.1_WH-SGI-V-07261_genomic.fna.txt,2.9,2031,GCA_001452985.1_WH-SGI-V-07261_genomic.fna.txt,2,WH-SGI-V-07261,431858
744037,2667948,GCA_001450165.1_WH-SGI-V-07370_genomic.fna.txt,2.8,2047,GCA_001450165.1_WH-SGI-V-07370_genomic.fna.txt,2,WH-SGI-V-07370,1923911
1763434,2335996,GCA_001444975.1_ASM144497v1_genomic.fna.txt,2.7,2228,GCA_001444975.1_ASM144497v1_genomic.fna.txt,2,ASM144497v1,572562
1969215,2217501,GCA_000790355.1_AZPAE14872_genomic.fna.txt,2.6,244,GCA_000790355.1_AZPAE14872_genomic.fna.txt,2,AZPAE14872,248286
1969215,2217501,GCA_000791725.1_AZPAE14958_genomic.fna.txt,2.5,244,GCA_000791725.1_AZPAE14958_genomic.fna.txt,2,AZPAE14958,248286
1969215,2217501,GCA_000792165.1_AZPAE14978_genomic.fna.txt,2.4,244,GCA_000792165.1_AZPAE14978_genomic.fna.txt,2,AZPAE14978,248286
1969215,2217501,GCA_000793085.1_AZPAE15021_genomic.fna.txt,2.3,244,GCA_000793085.1_AZPAE15021_genomic.fna.txt,2,AZPAE15021,248286
1969215,2217501,GCA_000794245.1_AZPAE14834_genomic.fna.txt,2.2,244,GCA_000794245.1_AZPAE14834_genomic.fna.txt,2,AZPAE14834,248286
1969215,2217501,GCA_000794265.1_AZPAE14833_genomic.fna.txt,2.1,244,GCA_000794265.1_AZPAE14833_genomic.fna.txt,2,AZPAE14833,248286
1969215,2217501,GCA_000795565.1_AZPAE13864_genomic.fna.txt,2,244,GCA_000795565.1_AZPAE13864_genomic.fna.txt,2,AZPAE13864,248286
1974169,2207756,GCF_900708155.1_CVA03-004_genomic.fna.txt,1.9,244,GCF_900708155.1_CVA03-004_genomic.fna.txt,1,CVA03-004,233587
1975112,2029239,GCF_900707665.1_CAT04-016_genomic.fna.txt,1.8,253,GCF_900707665.1_CAT04-016_genomic.fna.txt,1,CAT04-016,54127
1975112,2029239,GCF_900707795.1_CAT05-004_genomic.fna.txt,1.7,253,GCF_900707795.1_CAT05-004_genomic.fna.txt,1,CAT05-004,54127
1981736,2029239,GCF_900707885.1_CAT09-027_genomic.fna.txt,1.6,253,GCF_900707885.1_CAT09-027_genomic.fna.txt,1,CAT09-027,47503
1982196,2103050,GCA_000796295.1_AZPAE14442_genomic.fna.txt,1.5,2712,GCA_000796295.1_AZPAE14442_genomic.fna.txt,2,AZPAE14442,120854
1796345,2411822,GCA_000789725.1_AZPAE14941_genomic.fna.txt,1.4,n/a,GCA_000789725.1_AZPAE14941_genomic.fna.txt,2,AZPAE14941,615477
1975071,2044628,GCA_000789745.1_AZPAE14846_genomic.fna.txt,1.3,n/a,GCA_000789745.1_AZPAE14846_genomic.fna.txt,2,AZPAE14846,69557
1974940,2044628,GCA_000796345.1_AZPAE14453_genomic.fna.txt,1.2,n/a,GCA_000796345.1_AZPAE14453_genomic.fna.txt,2,AZPAE14453,69688
