"Name" "Serotype" "Coverage" "Identity" "Row" "Besthit" "Fragments"
"GCF_900708695.1_MAD04-041_genomic.fna" "O6" 99.53 99.72 "6.1.17" "O6" "3"
"GCF_900708705.1_MAD05-027_genomic.fna" "O11" 100 99.39 "3" "O11" "1"
"GCF_900708715.1_MAD05-041_genomic.fna" "O12" 100 99.36 "1" "O12" "1"
"GCF_900708725.1_MAD06-017_genomic.fna" "O4" 100 99.84 "1" "O4" "1"
"GCF_900708735.1_MAD05-020_genomic.fna" "O11" 100 99.39 "2" "O11" "1"
"GCF_900708745.1_MAD05-026_genomic.fna" "O4" 100 99.83 "1" "O4" "1"
"GCF_900708765.1_MUR01-018_genomic.fna" "O4" 100 99.77 "17.29.14.31.3" "O4" "5"
"GCF_900708775.1_MUR01-009_genomic.fna" "O4" 99.64 99.84 "1.12" "O4" "2"
"GCF_900708785.1_MUR01-031_genomic.fna" "O6" 98.36 100 "2.13" "O6" "2"
"GCF_900708795.1_MUR01-026_genomic.fna" "O4" 100 99.84 "2" "O4" "1"
"GCF_900708805.1_PVA01-007_genomic.fna" "O4" 100 99.83 "2" "O4" "1"
"GCF_900708835.1_NAV01-012_genomic.fna" "O12" 100 99.36 "2" "O12" "1"
"GCF_900708845.1_MUR01-033_genomic.fna" "O11" 100 99.44 "2" "O11" "1"
"GCF_900708855.1_PVA01-042_genomic.fna" "O5" 95.42 99.72 "4.3.1.15" "O5" "4"
"GCF_900708875.1_PVA01-021_genomic.fna" "O12" 100 99.36 "3" "O12" "1"
