"Seqname" "ST" "acsA" "aroE" "guaA" "mutL" "nuoD" "ppsA" "trpE"
"GCA_000790935.1_AZPAE14894_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000790965.1_AZPAE14895_genomic.fna.txt" 968 6 5 5 3 3 6 26
"GCA_000790985.1_AZPAE15045_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000791005.1_AZPAE15025_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000791025.1_AZPAE14897_genomic.fna.txt" 1684 39 6 9 11 3 3 2
"GCA_000791035.1_AZPAE14898_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000791065.1_AZPAE14899_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000791085.1_AZPAE14900_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000791105.1_AZPAE14901_genomic.fna.txt" 9997 87 70 79 80 53 48 288
"GCA_000791125.1_AZPAE14902_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000791145.1_AZPAE14903_genomic.fna.txt" 1721 28 24 5 6 1 33 5
"GCA_000791155.1_AZPAE14904_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000791185.1_AZPAE14922_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000791205.1_AZPAE14923_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_000791225.1_AZPAE14924_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_000791235.1_AZPAE15027_genomic.fna.txt" 1086 38 16 5 3 1 19 15
"GCA_000791265.1_AZPAE14925_genomic.fna.txt" 1800 11 5 73 3 4 4 3
"GCA_000791275.1_AZPAE14926_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000791305.1_AZPAE14927_genomic.fna.txt" 267 19 5 12 11 11 4 14
"GCA_000791325.1_AZPAE14928_genomic.fna.txt" 1605 16 5 6 11 2 15 2
"GCA_000791345.1_AZPAE14943_genomic.fna.txt" 1743 15 181 1 63 4 15 10
"GCA_000791365.1_AZPAE15026_genomic.fna.txt" 2724 13 4 7 33 1 6 40
"GCA_000791385.1_AZPAE15054_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_000791405.1_AZPAE14945_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000791425.1_AZPAE14944_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000791445.1_AZPAE14946_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_000791465.1_AZPAE15052_genomic.fna.txt" 2726 6 10 5 3 4 3 112
"GCA_000791485.1_AZPAE14948_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000791495.1_AZPAE14949_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000791525.1_AZPAE14950_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000791545.1_AZPAE14951_genomic.fna.txt" 621 15 5 20 5 1 4 25
"GCA_000791565.1_AZPAE15032_genomic.fna.txt" 360 15 5 36 11 27 4 2
"GCA_000791585.1_AZPAE14952_genomic.fna.txt" 2069 35 5 36 72 4 42 1
"GCA_000791605.1_AZPAE14953_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000791625.1_AZPAE14954_genomic.fna.txt" 285 16 22 6 74 2 41 2
"GCA_000791635.1_AZPAE14955_genomic.fna.txt" 260 14 5 10 7 4 13 7
"GCA_000791665.1_AZPAE15050_genomic.fna.txt" 360 15 5 36 11 27 4 2
"GCA_000791685.1_AZPAE14956_genomic.fna.txt" 270 22 3 17 5 2 10 7
"GCA_000791705.1_AZPAE14957_genomic.fna.txt" 2410 89 30 31 58 48 24 32
"GCA_000791725.1_AZPAE14958_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000791735.1_AZPAE14959_genomic.fna.txt" 773 5 4 5 5 5 7 8
"GCA_000791765.1_AZPAE14960_genomic.fna.txt" 2720 5 5 5 6 1 55 47
"GCA_000791785.1_AZPAE14961_genomic.fna.txt" 500 11 57 7 3 4 15 1
"GCA_000791805.1_AZPAE14962_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_000791825.1_AZPAE14963_genomic.fna.txt" 1090 6 5 1 3 49 46 56
"GCA_000791835.1_AZPAE14964_genomic.fna.txt" 9997 214 5 1 1 1 12 1
"GCA_000791855.1_AZPAE15031_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000791885.1_AZPAE14967_genomic.fna.txt" 2721 17 151 5 77 27 64 7
"GCA_000791905.1_AZPAE14965_genomic.fna.txt" 9997 214 5 1 1 1 12 1
"GCA_000791915.1_AZPAE14968_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000791945.1_AZPAE14969_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000791965.1_AZPAE14970_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000791985.1_AZPAE15030_genomic.fna.txt" 245 39 6 12 11 3 15 2
"GCA_000792005.1_AZPAE14971_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000792025.1_AZPAE14972_genomic.fna.txt" 1567 32 8 3 18 1 123 118
"GCA_000792045.1_AZPAE15044_genomic.fna.txt" 1320 22 20 122 3 3 3 7
"GCA_000792065.1_AZPAE14973_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000792085.1_AZPAE14974_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_000792095.1_AZPAE14975_genomic.fna.txt" 879 16 136 1 3 4 4 7
"GCA_000792115.1_AZPAE14976_genomic.fna.txt" 1295 11 5 124 67 4 115 3
"GCA_000792145.1_AZPAE15029_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000792155.1_AZPAE14977_genomic.fna.txt" 1437 40 5 5 3 4 13 166
"GCA_000792165.1_AZPAE14978_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000792205.1_AZPAE14979_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000792225.1_AZPAE14980_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_000792245.1_AZPAE14981_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000792265.1_AZPAE15028_genomic.fna.txt" 463 6 5 5 3 1 6 3
"GCA_000792285.1_AZPAE14982_genomic.fna.txt" 1420 5 163 25 5 1 20 125
"GCA_000792305.1_AZPAE14983_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000792325.1_AZPAE14984_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000792345.1_AZPAE14985_genomic.fna.txt" 1076 5 4 57 62 1 1 26
"GCA_000792365.1_AZPAE14986_genomic.fna.txt" 769 81 5 9 11 3 6 12
"GCA_000792385.1_AZPAE14987_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_000792395.1_AZPAE15051_genomic.fna.txt" 319 5 4 3 3 1 11 8
"GCA_000792425.1_AZPAE14988_genomic.fna.txt" 1076 5 4 57 62 1 1 26
"GCA_000792445.1_AZPAE14989_genomic.fna.txt" 357 2 4 5 3 1 6 11
"GCA_000792465.1_AZPAE14990_genomic.fna.txt" 319 5 4 3 3 1 11 8
"GCA_000792475.1_AZPAE14991_genomic.fna.txt" 316 13 8 9 3 1 6 9
"GCA_000792505.1_AZPAE14992_genomic.fna.txt" 2055 16 24 1 149 4 129 19
"GCA_000792515.1_AZPAE14993_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000792545.1_AZPAE14994_genomic.fna.txt" 2410 89 30 31 58 48 24 32
"GCA_000792565.1_AZPAE14995_genomic.fna.txt" 231 6 5 36 63 4 30 2
"GCA_000792575.1_AZPAE14996_genomic.fna.txt" 646 11 5 6 11 2 4 19
"GCA_000792605.1_AZPAE14997_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000792625.1_AZPAE14998_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000792635.1_AZPAE14999_genomic.fna.txt" 557 11 5 12 11 4 4 20
"GCA_000792665.1_AZPAE15000_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000792675.1_AZPAE15001_genomic.fna.txt" 2722 16 5 6 7 3 6 18
"GCA_000792705.1_AZPAE15002_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000792725.1_AZPAE15003_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000792745.1_AZPAE15004_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000792765.1_AZPAE15005_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000792785.1_AZPAE15006_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000792805.1_AZPAE15007_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000792825.1_AZPAE15008_genomic.fna.txt" 1284 32 8 5 3 5 6 26
"GCA_000792845.1_AZPAE15009_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000792855.1_AZPAE15010_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000792885.1_AZPAE15011_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000792895.1_AZPAE15012_genomic.fna.txt" 252 6 28 4 3 3 4 7
"GCA_000792925.1_AZPAE15013_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000792945.1_AZPAE15014_genomic.fna.txt" 1033 11 22 5 3 61 14 3
"GCA_000792965.1_AZPAE15016_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000792975.1_AZPAE15015_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000793005.1_AZPAE15017_genomic.fna.txt" 3471 111 30 31 242 28 24 55
"GCA_000793025.1_AZPAE15018_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000793045.1_AZPAE15019_genomic.fna.txt" 309 13 8 9 3 1 17 15
"GCA_000793055.1_AZPAE15020_genomic.fna.txt" 3063 6 5 1 1 1 12 258
"GCA_000793085.1_AZPAE15021_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000793105.1_AZPAE15022_genomic.fna.txt" 387 28 5 11 11 4 12 3
"GCA_000793125.1_AZPAE15023_genomic.fna.txt" 2723 28 5 11 11 3 13 3
"GCA_000793135.1_AZPAE15048_genomic.fna.txt" 234 1 5 11 3 4 10 3
"GCA_000793165.1_AZPAE15056_genomic.fna.txt" 635 6 5 11 3 1 6 27
"GCA_000793185.1_AZPAE15055_genomic.fna.txt" 2727 15 5 5 61 15 12 3
"GCA_000793205.1_AZPAE15057_genomic.fna.txt" 2476 28 5 11 18 64 13 3
"GCA_000793225.1_AZPAE15058_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000793245.1_AZPAE15059_genomic.fna.txt" 313 47 8 7 6 8 11 40
"GCA_000793255.1_AZPAE15060_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000793285.1_AZPAE15062_genomic.fna.txt" 644 28 3 94 13 1 4 10
"GCA_000793295.1_AZPAE15061_genomic.fna.txt" 633 125 5 6 3 4 13 23
"GCA_000793315.1_AZPAE15063_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000793345.1_AZPAE15064_genomic.fna.txt" 1560 9 8 5 67 95 20 9
"GCA_000793365.1_AZPAE15065_genomic.fna.txt" 261 105 5 30 3 3 4 14
"GCA_000793385.1_AZPAE15072_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000793395.1_AZPAE15066_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000793415.1_AZPAE15067_genomic.fna.txt" 319 5 4 3 3 1 11 8
"GCA_000793445.1_AZPAE15068_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000793455.1_AZPAE15069_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_000793485.1_AZPAE15070_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000793505.1_AZPAE15071_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000793585.1_AZPAE14936_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000793595.1_AZPAE14939_genomic.fna.txt" 2719 1 57 11 3 3 13 5
"GCA_000793615.1_AZPAE14905_genomic.fna.txt" 560 5 5 57 13 1 40 3
"GCA_000793645.1_AZPAE14938_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000793665.1_AZPAE14917_genomic.fna.txt" 1750 6 5 5 5 52 4 7
"GCA_000793685.1_AZPAE14932_genomic.fna.txt" 313 47 8 7 6 8 11 40
"GCA_000793705.1_AZPAE14907_genomic.fna.txt" 2069 35 5 36 72 4 42 1
"GCA_000793725.1_AZPAE15033_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000793745.1_AZPAE14920_genomic.fna.txt" 377 103 8 5 5 1 6 4
"GCA_000793765.1_AZPAE14931_genomic.fna.txt" 266 16 5 11 72 44 7 52
"GCA_000793785.1_AZPAE14937_genomic.fna.txt" 621 15 5 20 5 1 4 25
"GCA_000793805.1_AZPAE14908_genomic.fna.txt" 633 125 5 6 3 4 13 23
"GCA_000793825.1_AZPAE14921_genomic.fna.txt" 633 125 5 6 3 4 13 23
"GCA_000793845.1_AZPAE14913_genomic.fna.txt" 1800 11 5 73 3 4 4 3
"GCA_000793865.1_AZPAE14930_genomic.fna.txt" 3346 39 5 192 59 1 20 15
"GCA_000793885.1_AZPAE14914_genomic.fna.txt" 274 23 5 11 7 1 12 7
"GCA_000793905.1_AZPAE14934_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000793915.1_AZPAE14906_genomic.fna.txt" 560 5 5 57 13 1 40 3
"GCA_000793945.1_AZPAE14940_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000793955.1_AZPAE15034_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_000793985.1_AZPAE14911_genomic.fna.txt" 532 5 4 5 5 5 20 4
"GCA_000794005.1_AZPAE14916_genomic.fna.txt" 1605 16 5 6 11 2 15 2
"GCA_000794025.1_AZPAE14942_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000794045.1_AZPAE14947_genomic.fna.txt" 527 16 52 11 85 59 15 10
"GCA_000794055.1_AZPAE14912_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794085.1_AZPAE14933_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794095.1_AZPAE14935_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000794165.1_AZPAE14832_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794175.1_AZPAE14831_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000794185.1_AZPAE14830_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794195.1_AZPAE14829_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000794245.1_AZPAE14834_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000794265.1_AZPAE14833_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000794285.1_AZPAE14835_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794305.1_AZPAE14836_genomic.fna.txt" 162 6 5 6 34 27 3 7
"GCA_000794325.1_AZPAE14837_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794335.1_AZPAE14838_genomic.fna.txt" 767 17 5 12 98 4 7 10
"GCA_000794365.1_AZPAE14839_genomic.fna.txt" 260 14 5 10 7 4 13 7
"GCA_000794405.1_AZPAE14554_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794425.1_AZPAE14550_genomic.fna.txt" 257 35 24 36 11 4 15 14
"GCA_000794445.1_AZPAE14557_genomic.fna.txt" 498 6 28 65 3 3 4 7
"GCA_000794455.1_AZPAE14570_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000794485.1_AZPAE14566_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000794505.1_AZPAE14688_genomic.fna.txt" 2731 15 223 5 5 50 4 14
"GCA_000794515.1_AZPAE14687_genomic.fna.txt" 167 40 5 11 5 4 38 37
"GCA_000794545.1_AZPAE14689_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794555.1_AZPAE14690_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794585.1_AZPAE14692_genomic.fna.txt" 309 13 8 9 3 1 17 15
"GCA_000794605.1_AZPAE14691_genomic.fna.txt" 847 11 5 36 3 1 88 2
"GCA_000794625.1_AZPAE14693_genomic.fna.txt" 1090 6 5 1 3 49 46 56
"GCA_000794645.1_AZPAE14694_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794665.1_AZPAE14695_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000794675.1_AZPAE14697_genomic.fna.txt" 640 11 5 98 5 3 10 85
"GCA_000794705.1_AZPAE14698_genomic.fna.txt" 463 6 5 5 3 1 6 3
"GCA_000794725.1_AZPAE14699_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000794735.1_AZPAE14700_genomic.fna.txt" 309 13 8 9 3 1 17 15
"GCA_000794745.1_AZPAE14701_genomic.fna.txt" 348 22 20 11 3 3 3 7
"GCA_000794785.1_AZPAE14702_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794805.1_AZPAE14703_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794825.1_AZPAE14704_genomic.fna.txt" 116 28 24 22 18 3 15 7
"GCA_000794845.1_AZPAE14725_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000794865.1_AZPAE14726_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794885.1_AZPAE14727_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794905.1_AZPAE14728_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794925.1_AZPAE14729_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000794945.1_AZPAE14730_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794965.1_AZPAE14731_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000794985.1_AZPAE14732_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000794995.1_AZPAE14809_genomic.fna.txt" 385 15 5 5 5 50 4 14
"GCA_000795025.1_AZPAE14810_genomic.fna.txt" 132 6 20 1 3 4 4 2
"GCA_000795045.1_AZPAE14811_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000795065.1_AZPAE14812_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000795085.1_AZPAE14813_genomic.fna.txt" 1684 39 6 9 11 3 3 2
"GCA_000795105.1_AZPAE14814_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000795115.1_AZPAE14815_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000795145.1_AZPAE14816_genomic.fna.txt" 671 5 5 57 13 1 74 3
"GCA_000795165.1_AZPAE14817_genomic.fna.txt" 386 17 5 11 18 4 10 3
"GCA_000795185.1_AZPAE14818_genomic.fna.txt" 2714 40 5 11 5 4 15 37
"GCA_000795205.1_AZPAE14819_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_000795225.1_AZPAE14820_genomic.fna.txt" 1122 15 22 1 11 4 4 5
"GCA_000795235.1_AZPAE14821_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_000795265.1_AZPAE14822_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_000795285.1_AZPAE14823_genomic.fna.txt" 155 28 5 36 3 3 13 7
"GCA_000795305.1_AZPAE14824_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000795325.1_AZPAE14825_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000795345.1_AZPAE14826_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000795365.1_AZPAE14827_genomic.fna.txt" 179 36 27 28 3 4 13 7
"GCA_000795385.1_AZPAE14828_genomic.fna.txt" 1858 17 2 11 3 81 38 3
"GCA_000795405.1_AZPAE13757_genomic.fna.txt" 146 6 5 11 3 4 23 1
"GCA_000795425.1_AZPAE13848_genomic.fna.txt" 316 13 8 9 3 1 6 9
"GCA_000795435.1_AZPAE13850_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000795465.1_AZPAE13853_genomic.fna.txt" 823 32 13 24 13 1 6 25
"GCA_000795485.1_AZPAE13856_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000795505.1_AZPAE13858_genomic.fna.txt" 823 32 13 24 13 1 6 25
"GCA_000795525.1_AZPAE13860_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000795535.1_AZPAE14716_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000795565.1_AZPAE13864_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000795585.1_AZPAE13866_genomic.fna.txt" 655 11 6 19 11 4 15 9
